"","Country","Afrobarometer Round Number","Survey Start Date","Survey End Date","Survey Duration","Region","Credibility of Region","Average Dates of Violence","Start Dates of Violence","End Dates of Violence","Casualties","Fatalities High Estimate","Fatalities Low Estimate","Fatalities Average","Injuries","Notes","Sources"
"1","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Bam",1,2015-05-03,2015-05-03,2015-05-03,NA,0,0,0,NA,"Members of 33 villages in the Sabce commune protested in favor of returning a recently expelled prefect to his position in the municipality.","ACLED"
"2","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-05-01,2015-05-01,2015-05-01,NA,0,0,0,NA,"Workers marched in protest of high costs of living.","ACLED"
"3","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-04-30,2015-04-30,2015-04-30,NA,0,0,0,NA,"University students marched in favor of changing the License-Master-Doctorate system.","ACLED"
"4","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Houet",1,2015-04-25,2015-04-25,2015-04-25,NA,0,0,0,NA,"Protesters marched in favor of the new electoral code which excludes supporters of former president Campaore.","ACLED"
"5","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-04-25,2015-04-25,2015-04-25,NA,0,0,0,NA,"Thousands protested in favor of the new electoral code that excludes supporters of former president Campaore.","ACLED"
"6","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Houet",1,2015-04-23,2015-04-23,2015-04-23,NA,0,0,0,NA,"Workers from the African Pneumatic Society joined by the UAS union marched to demand payment of housing allowances.","ACLED"
"7","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Oubritenga",2,2015-04-22,2015-04-22,2015-04-22,NA,0,0,0,NA,"An ongoing dispute between farmers and herders in a village near Ziniare led to riots where property was burned and some livestock killed. Police intervened with teargas and arrested three.","ACLED"
"8","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-04-08,2015-04-08,2015-04-08,NA,0,0,0,NA,"Unions and civil society organizations launched a general strike to protest high costs of living and around 5,000 people held a protest. Most businesses remained open, with only the University of Ouagadougou following the strike for the entire day.","ACLED"
"9","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Houet",1,2015-04-08,2015-04-08,2015-04-08,NA,0,0,0,NA,"Thousands marched in protest of high cost of living.","ACLED"
"10","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Boulkiemde",1,2015-04-08,2015-04-08,2015-04-08,NA,0,0,0,NA,"Protesters marched against high costs of living.","ACLED"
"11","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Yatenga",1,2015-04-08,2015-04-08,2015-04-08,NA,0,0,0,NA,"Protesters marched against high costs of living.","ACLED"
"12","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-04-07,2015-04-07,2015-04-07,NA,0,0,0,NA,"While a vote took place to block members of the former regime from upcoming elections, protesters both for and against the amendment chanted in the streets and one group blocked a road and burned tires. Small clashes broke out with the police who used teargas and arrested five.","ACLED"
"13","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kossi",1,2015-04-07,2015-04-07,2015-04-07,NA,0,0,0,NA,"Protesters marched against political discrimination in light of an upcoming vote to exclude members of the former regime from the next elections.","ACLED"
"14","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Houet",1,2015-04-07,2015-04-07,2015-04-07,NA,0,0,0,NA,"About 30 protesters marched against a law that would exclude members of the former regime from upcoming elections. They were dispersed by police using tear gas.","ACLED"
"15","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Oudalan",1,2015-04-04,2015-04-04,2015-04-04,NA,0,0,0,NA,"5 gunmen attacked a security vehicle near a mine, shooting and injuring the driver and a policeman and kidnapping a Romanian security officer who was unarmed. They then headed towards Mali or Niger. One month later, Al-Mourabitoun confirmed that they still had the Romanian in their custody.","ACLED"
"16","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-03-31,2015-03-31,2015-03-31,NA,0,0,0,NA,"Hundreds of truck drivers marched to demand better work and living conditions, including increased wages.","ACLED"
"17","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",2,2015-03-30,2015-03-30,2015-03-30,NA,0,0,0,NA,"Truck drivers went on a 48 hour strike to improve working conditions. They blocked the route from Ouagadougou to Bobo-Dioulasso.","ACLED"
"18","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-03-25,2015-03-25,2015-03-25,NA,0,0,0,NA,"Workers from the Regional Direction of Labor and Social Security held a sit-in to express discontent with an incident with gendarmes they day before.","ACLED"
"19","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Houet",1,2015-03-23,2015-03-23,2015-03-23,NA,0,0,0,NA,"Brakina and Sodibo brewery workers went on strike, stopping all work at the factories in Ouagadougou and Bobo Dioulassoand, holding a sit-in to demand higher wages.","ACLED"
"20","Burkina Faso","Round 6",2015-04-19,2015-05-05,16,"Kadiogo",1,2015-03-23,2015-03-23,2015-03-23,NA,0,0,0,NA,"Brakina and Sodibo brewery workers went on strike, stopping all work at the factories in Ouagadougou and Bobo Dioulassoand, holding a sit-in to demand higher wages.","ACLED"
"21","Cote d'Ivoire","Round 6",2014-08-25,2014-09-08,14,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"22","Ghana","Round 6",2014-05-20,2014-06-10,21,"Kumasi",1,2014-06-10,2014-06-10,2014-06-10,NA,0,0,0,NA,"New Patriotic Party (NPP) members and supporters marched in Kumasi in protest over economic hardships, power cuts, and the long period of piloting the National Health Insurance Scheme in the region","ACLED"
"23","Ghana","Round 6",2014-05-20,2014-06-10,21,"Accra",1,2014-05-20,2014-05-20,2014-05-20,NA,0,0,0,NA,"Ghanaians, Cameroonians and Burkinabe came together to presented a petition to ask the Nigerian president to treat the abduction of schoolgirls by Boko Haram as an international incident and do more to solve it","ACLED"
"24","Ghana","Round 6",2014-05-20,2014-06-10,21,"Accra",1,2014-05-12,2014-05-12,2014-05-12,NA,0,0,0,NA,"Members of the Ghana National Petroleum Tanker Drivers Union (GNPTDU) refused to allow any vehicle to load petrol from the Accra BOST depot in protest of BOSTs alleged destruction of their office, and to demand it be rebuilt","ACLED"
"25","Ghana","Round 6",2014-05-20,2014-06-10,21,"Accra",1,2014-05-11,2014-05-11,2014-05-11,NA,0,0,0,NA,"Hundreds of women marched in Accra to the Nigerian embassy to present a petition protesting the kidnapping of girls in Nigeria by Boko Haram","ACLED"
"26","Ghana","Round 6",2014-05-20,2014-06-10,21,"Tamale",1,2014-05-10,2014-05-10,2014-05-10,NA,0,0,0,NA,"A photographer was assualted by a military officer after he tried to take pictures of a confrontation between military personnel and some youths of the area. His camera was destroyed and some of his equipment was seized.","ACLED"
"27","Ghana","Round 6",2014-05-20,2014-06-10,21,"Accra",1,2014-05-01,2014-05-01,2014-05-01,NA,0,0,0,NA,"Ghanaians workers protested in Black Star Square in Accra to demand improvements to working conditions and better pay","ACLED"
"28","Kenya","Round 6",2014-11-12,2014-12-05,23,"Yatta",1,2014-12-05,2014-12-05,2014-12-05,NA,0,0,0,NA,"Residents of Matuu town, Machakos county, took to the streets to protest demolition of kiosks by the county government.","ACLED"
"29","Kenya","Round 6",2014-11-12,2014-12-05,23,"Keiyo North",1,2014-12-04,2014-12-04,2014-12-04,NA,0,0,0,NA,"Elegeyo-Marakwet residents protest over a road overgrown with foliage, causing passage difficult.","ACLED"
"30","Kenya","Round 6",2014-11-12,2014-12-05,23,"Narok North",1,2014-12-03,2014-12-03,2014-12-03,NA,0,0,0,NA,"Hundreds of women staged a demonstration to protest against their husbands neglect of family responsibilities.","ACLED"
"31","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mwingi East",1,2014-12-03,2014-12-03,2014-12-03,NA,0,0,0,NA,"Protesters against insecurity throw stones at a bus and raid a Somali-owned hotel in Mwingi. Police shot into the air to disperse the mob.","ACLED"
"32","Kenya","Round 6",2014-11-12,2014-12-05,23,"Garissa",1,2014-12-03,2014-12-03,2014-12-03,NA,0,0,0,NA,"An unknown assailant threw two grenades into a cafe in Garissa on Wednesday night, wounding two people. The source references several attacks from al Shabaab in the area, but does not speculate as to who is responsible for the Wednesday blast.","ACLED"
"33","Kenya","Round 6",2014-11-12,2014-12-05,23,"Isiolo South",1,2014-12-03,2014-12-03,2014-12-03,NA,15,15,15,NA,"Al Shabaab lines and executes 15 non-Muslim farmers by firing squad in Mado Gashi.","ACLED"
"34","Kenya","Round 6",2014-11-12,2014-12-05,23,"Wajir East",1,2014-12-01,2014-12-01,2014-12-01,NA,1,1,1,NA,"At least one patron is killed when suspected al Shabaab attack a country club bar in Wajir. Witnesses claim two blasts followed by gunfire.","ACLED"
"35","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mandera East",1,2014-12-01,2014-12-01,2014-12-01,NA,36,36,36,NA,"A pro-al Shabaab website published a report that al Shabaab has claimed the responsibility of the killing of 36-non local Kenyans at a quarry in Koromei area near Mandera in the night of 01/12. The statement claimed that the attack on Koromei was part of series of attacks executed by the Mujahidin to serve as a response to Kenyas occupation of Somalia, the airstrikes by Kenyan warplanes and the killing of innocent Somalis.","ACLED"
"36","Kenya","Round 6",2014-11-12,2014-12-05,23,"Gem",1,2014-11-30,2014-11-30,2014-11-30,NA,0,0,0,NA,"A group protesting area insecurity become entangled in running battles with police. Twelve students were treated for injuries at area hospitals.","ACLED"
"37","Kenya","Round 6",2014-11-12,2014-12-05,23,"Garissa",1,2014-11-30,2014-11-30,2014-11-30,NA,0,0,0,NA,"At least five people were wounded on Sunday evening after unknown men hurled a hand grenade at pedestrians in Garissa town, northern Kenya.","ACLED"
"38","Kenya","Round 6",2014-11-12,2014-12-05,23,"Dadaab",1,2014-11-29,2014-11-29,2014-11-29,NA,1,1,1,NA,"A Kenyan police officer was shot dead and another seriously wounded in an attack by suspected al Shabaab at Dadaab Refugee Camp.","ACLED"
"39","Kenya","Round 6",2014-11-12,2014-12-05,23,"Kipipiri",2,2014-11-27,2014-11-27,2014-11-27,NA,0,0,0,NA,"Nyandarua residents protested against delay in constructing the 45km Mairo-Inya Shamata road. The residents barricaded the road for most of the day.","ACLED"
"40","Kenya","Round 6",2014-11-12,2014-12-05,23,"Starehe",1,2014-11-27,2014-11-27,2014-11-27,NA,0,0,0,NA,"University of Nairobi students protest a policy that would not pay interns.","ACLED"
"41","Kenya","Round 6",2014-11-12,2014-12-05,23,"Starehe",1,2014-11-26,2014-11-26,2014-11-26,NA,0,0,0,NA,"A group continues a protest against insecurity in Nairobis CBD.","ACLED"
"42","Kenya","Round 6",2014-11-12,2014-12-05,23,"Starehe",1,2014-11-25,2014-11-25,2014-11-25,NA,0,0,0,NA,"Civil society groups took to the streets, torching coffins to protest against recent Mandera violence and rising insecurity in the region. Police dispersed the crowd when they neared the Office of the President, Harambee House.","ACLED"
"43","Kenya","Round 6",2014-11-12,2014-12-05,23,"Manyatta",1,2014-11-21,2014-11-21,2014-11-21,NA,1,1,1,NA,"Residents of Embu Town on Friday night lynched a suspected mugger who had accosted a man and robbed him of his cash.","ACLED"
"44","Kenya","Round 6",2014-11-12,2014-12-05,23,"Mandera East",1,2014-11-21,2014-11-21,2014-11-21,NA,28,28,28,NA,"At least 28 people were killed after suspected Al-Shabaab militants attacked a Nairobi-bound bus in Omar Jilo, Mandera County in north-east Kenya. Witness said the attackers ordered all off the bus, divided the passengers along ethnic lines - Somali and non-Somali, shooting all non-Somalis. Many of the deceased were teachers.","ACLED"
"45","Kenya","Round 6",2014-11-12,2014-12-05,23,"Ol Joro Orok",1,2014-11-21,2014-11-21,2014-11-21,NA,0,0,0,NA,"A group of internally displaced people in Gilgil protested at the office of the deputy county commissioner demanding to be given relief food.","ACLED"
"46","Kenya","Round 6",2014-11-12,2014-12-05,23,"North Horr",1,2014-11-19,2014-11-19,2014-11-19,NA,4,4,4,NA,"At least five people were killed and four others reported missing following clashes in Dukana, Marsabit County or rights to cattle and property.","ACLED"
"47","Kenya","Round 6",2014-11-12,2014-12-05,23,"Starehe",1,2014-11-17,2014-11-17,2014-11-17,NA,0,0,0,NA,"A group protests attacks on women based on wearing revealing attire.","ACLED"
