idEvent,Countrycode,Country,Location,Lat,Long,BufferEvent,BufferLocation,TrsBndry,LocDesc,Start,End,DateEst,StartDesc,Type,TypeDesc,EvDesc,FatEst,FatDesc,FatMn,FatMx,FatCivMn,FatCivMx,FatMilMn,FatMilMx,idActor0,ActActiv0,ActAly0,ActUncon0,ActName0,ActDesc0,ActLead0,idActor1,ActActiv1,ActAly1,ActUncon1,ActName1,ActDesc1,ActLead1,idActor2,ActActiv2,ActAly2,ActUncon2,ActName2,ActDesc2,ActLead2,idActor3,ActActiv3,ActAly3,ActUncon3,ActName3,ActDesc3,ActLead3,idActor4,ActActiv4,ActAly4,ActUncon4,ActName4,ActDesc4,ActLead4,idActor5,ActActiv5,ActAly5,ActUncon5,ActName5,ActDesc5,ActLead5,idActor6,ActActiv6,ActAly6,ActUncon6,ActName6,ActDesc6,ActLead6,idSrce0,SrceDate0,SrceName0,SrceBias0,idSrce1,SrceDate1,SrceName1,SrceBias1,idSrce2,SrceDate2,SrceName2,SrceBias2,idSrce3,SrceDate3,SrceName3,SrceBias3,idSrce4,SrceDate4,SrceName4,SrceBias4,idSrce5,SrceDate5,SrceName5,SrceBias5,idSrce6,SrceDate6,SrceName6,SrceBias6,idSrce7,SrceDate7,SrceName7,SrceBias7,idSrce8,SrceDate8,SrceName8,SrceBias8,idSrce9,SrceDate9,SrceName9,SrceBias9,idSrce10,SrceDate10,SrceName10,SrceBias10,idSrce11,SrceDate11,SrceName11,SrceBias11,idSrce12,SrceDate12,SrceName12,SrceBias12,idSrce13,SrceDate13,SrceName13,SrceBias13,idSrce14,SrceDate14,SrceName14,SrceBias14,idSrce15,SrceDate15,SrceName15,SrceBias15
2456,LBR,Liberia,Bomi County,"6,7","-10,81","26,1",0,0,,1994-05-03,1994-05-03,1,date of report,Fighting,Fighting,Tribal infighting with in ULIMO,1,several in three places,0,6,0,0,0,0,314,0,0,0,Ulimo-J,United Liberation Movement of Liberia for Democracy-Johnson faction (ULIMO-J),General Roosevelt Johnson/,316,0,0,0,Ulimo-K,"Ulimo-K, United Liberation Movement of Liberia for Democracy, Kromah faction",Alhaji G/V/ Kromah/,11,0,0,0,Unspecified actor,Unspecified actor,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,86,03/05/1994,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2431,LBR,Liberia,Brewerville,"6,42","-10,78",0,0,0,,1994-06-26,1994-06-26,1,date of broadcast,One-sided attack,Unclear,Ulimo Mandingo faction attacks ECOMOG killing civilians,1,scores of civilians are reported to have been massacred,1,2,1,2,0,0,316,1,0,0,Ulimo-K,"Ulimo-K, United Liberation Movement of Liberia for Democracy, Kromah faction",Alhaji G/V/ Kromah/,321,0,0,0,ECOMOG,"ECOMOG, Community of West African States Monitoring Group",,25,0,0,0,Civilian(s),Civilian(s),,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,86,26/06/1994,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2308,LBR,Liberia,Klay,"6,69","-10,87",0,0,0,"""Simon Klay Junction, 40 km from Monrovia/"" --> used 'Klay'",2002-03-02,2002-03-02,1,Date of the original source is used,Fighting,Fighting,Rebel offensive in northwest,0,,4,4,3,3,1,1,349,0,0,0,Antiterrorist Unit (ATU),"Antiterrorist Unit: The regular security forces include the Antiterrorist Unit (ATU), which is composed of an elite special forces group consisting predominately of foreign nationals from Burkina Faso and The Gambia, as well as former Revolutionary United Front (RUF) combatants from Sierra Leone/ The ATU absorbed Taylor's most experienced civil war fighters, including undisciplined and untrained loyalists/",,343,0,0,0,Liberians United for Reconciliation and Democracy (LURD),"Liberians United for Reconciliation and Democracy/ The group is essentially a loose coalition of anti-Taylor forces, drawing upon a variety of militia factions and refugee groups, increasingly backed by Guinea, with more indirect support from Sierra Leone, the U/ S/ and Great Britain/",,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,94,12/03/2002,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2373,LBR,Liberia,Klay,"6,69","-10,87",0,0,0,,1992-09-25,1992-09-25,0,,One-sided attack,Unclear,At least 300 killed by rebel forces,0,,300,370,300,370,0,0,328,1,0,1,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,25,0,0,0,Civilian(s),Civilian(s),,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,84,29/09/1992,New York Times,1,84,30/09/1992,BBC Monitoring,1,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2430,LBR,Liberia,Kle,"6,69","-10,87",0,0,0,,1994-05-21,1994-05-21,1,date of broadcast,Fighting,Fighting,Clashes between ULIMO factions,1,biased source,1,3,0,0,1,3,314,0,0,0,Ulimo-J,United Liberation Movement of Liberia for Democracy-Johnson faction (ULIMO-J),General Roosevelt Johnson/,316,0,0,0,Ulimo-K,"Ulimo-K, United Liberation Movement of Liberia for Democracy, Kromah faction",Alhaji G/V/ Kromah/,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,86,21/05/1994,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2429,LBR,Liberia,Tubmanburg,"6,87","-10,82",0,0,0,,1994-03-26,1994-03-28,1,three days of fighting including day of report,Fighting,Fighting,80 dead in clashes between ULIMO supporters,0,,80,80,0,0,0,0,314,0,0,0,Ulimo-J,United Liberation Movement of Liberia for Democracy-Johnson faction (ULIMO-J),General Roosevelt Johnson/,316,0,0,0,Ulimo-K,"Ulimo-K, United Liberation Movement of Liberia for Democracy, Kromah faction",Alhaji G/V/ Kromah/,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,86,28/03/1994,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2452,LBR,Liberia,Tubmanburg,"6,87","-10,82",0,0,0,,1995-05-12,1995-05-12,0,,Fighting,Fighting,ECOMOG clashes with ULIMO factions,0,,13,13,0,0,13,13,321,0,0,0,ECOMOG,"ECOMOG, Community of West African States Monitoring Group",,314,0,0,0,Ulimo-J,United Liberation Movement of Liberia for Democracy-Johnson faction (ULIMO-J),General Roosevelt Johnson/,316,0,0,0,Ulimo-K,"Ulimo-K, United Liberation Movement of Liberia for Democracy, Kromah faction",Alhaji G/V/ Kromah/,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,87,18/05/1995,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2463,LBR,Liberia,Tubmanburg,"6,87","-10,82",0,0,0,,1994-10-01,1994-10-02,0,,Fighting,Fighting,ECOMOG tries to stop inner-ULIMO fightings,1,several ULIMOs and ECOMOG soldiers,4,4,0,0,4,4,314,0,0,0,Ulimo-J,United Liberation Movement of Liberia for Democracy-Johnson faction (ULIMO-J),General Roosevelt Johnson/,316,0,0,0,Ulimo-K,"Ulimo-K, United Liberation Movement of Liberia for Democracy, Kromah faction",Alhaji G/V/ Kromah/,321,0,0,0,ECOMOG,"ECOMOG, Community of West African States Monitoring Group",,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,86,03/05/1994,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2464,LBR,Liberia,Tubmanburg,"6,87","-10,82",0,10,0,"""around Tubmanburg""",1995-12-28,1996-01-08,1,time of fightings,Fighting,Fighting,3 ECOMOG soldiers killed in fighting with ULIMO-J,1,more than 50 civilians and more than 60 soldiers died,112,112,51,51,61,61,321,0,0,0,ECOMOG,"ECOMOG, Community of West African States Monitoring Group",,314,0,0,0,Ulimo-J,United Liberation Movement of Liberia for Democracy-Johnson faction (ULIMO-J),General Roosevelt Johnson/,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,88,01/01/1996,New York Times,0,88,02/01/1996,New York Times,0,88,04/01/1996,New York Times,0,88,02/01/1996,The Guardian,0,88,11/01/1996,New York Times,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2369,LBR,Liberia,Tubmanburg,"6,87","-10,82",0,0,0,,1992-08-15,1992-08-16,0,,Unclear,Unclear,Via and Gola killed,1,members of both tribes,2,2,0,0,0,0,328,0,0,0,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,315,0,0,0,United Liberation Movement for Democracy in Liberia,"The United Liberation Movement of Liberia for Democracy (ULIMO) was a rebel group that participated in the First Liberian Civil War (1989-1996)/From its outset, ULIMO was beset with internal divisions and the group effectively broke into two separate militias in 1994: ULIMO-J, an ethnic Krahn faction led by General Roosevelt Johnson and ULIMO-K, a Mandingo-based faction led by Alhaji G/V/ Kromah/",,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,84,21/08/1992,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
